player_id,player_name,position,mean,std,p10,p25,p50,p75,p90,risk_adjusted_0.5,risk_adjusted_1.0,p_positive,realized_career_vorp,anchor_season,inside_50,inside_80
00-0028116,A.Robinson,WR,16.22404199357954,43.75254976962786,0.0,0.0,0.0,0.0,74.44386775804458,-21.87627488481393,-43.75254976962786,0.179,0.0,2017,true,true
00-0028118,T.Taylor,QB,268.4741186977708,213.44606205899424,0.0,38.92639857093854,265.58652966328117,463.56601832356506,556.5375891323223,158.86349863378405,52.140467604286926,0.79,0.0,2017,false,true
00-0028121,J.Todman,RB,0.0016427172351821291,0.035845107192170274,0.0,0.0,0.0,0.0,0.0,-0.017922553596085137,-0.035845107192170274,0.003,0.0,2017,true,true
00-0028142,V.Green,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0028237,C.Hogan,WR,8.420563286749768,28.689603493409198,0.0,0.0,0.0,0.0,5.612039198439526,-14.344801746704599,-28.689603493409198,0.118,0.0,2017,true,true
00-0028263,A.Holmes,WR,9.465362187171822,29.356241933966345,0.0,0.0,0.0,0.0,33.63246253133832,-14.678120966983172,-29.356241933966345,0.145,0.0,2017,true,true
00-0028411,D.Inman,WR,16.45383786029287,47.212471893071545,0.0,0.0,0.0,0.0,68.55345996699991,-23.606235946535772,-47.212471893071545,0.162,0.0,2017,true,true
00-0028434,D.Baldwin,WR,128.9388200477933,158.03018273182175,0.0,0.0,100.76357749354092,165.07499608268716,402.2083173089109,21.748486127630045,-57.26660523828083,0.602,8.156521739130431,2017,true,true
00-0028497,K.Aiken,WR,12.190230327685494,37.401197384439335,0.0,0.0,0.0,0.0,34.75493134162183,-18.700598692219668,-37.401197384439335,0.149,0.0,2017,true,true
00-0028581,P.DiMarco,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0028595,S.Tolzien,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0028702,C.Matthews,WR,0.28116354713765057,1.5202184027549523,0.0,0.0,0.0,0.0,0.0,-0.7601092013774762,-1.5202184027549523,0.054,0.0,2017,true,true
00-0028825,T.Pryor,WR,51.670323548643324,116.38331911133281,0.0,0.0,0.0,0.0,249.294895599838,-58.191659555666405,-116.38331911133281,0.249,0.0,2017,true,true
00-0028903,G.Celek,TE,13.055336815833902,34.35070864377812,0.0,0.0,0.0,0.0,56.983647222492344,-17.17535432188906,-34.35070864377812,0.206,0.0,2017,true,true
00-0028957,A.Davis,QB,0.10387527249281947,1.3798721686022866,0.0,0.0,0.0,0.0,0.0,-0.6899360843011433,-1.3798721686022866,0.012,0.0,2017,true,true
00-0028986,C.Keenum,QB,85.1847807555902,148.25126934042672,0.0,0.0,0.0,122.15084413187463,342.10274391676984,-74.12563467021336,-148.25126934042672,0.367,32.765217391304354,2017,true,true
00-0028987,P.Supernaw,TE,0.04602906346897599,0.6687646809822426,0.0,0.0,0.0,0.0,0.0,-0.3343823404911213,-0.6687646809822426,0.01,0.0,2017,true,true
00-0029000,C.Beasley,WR,17.60584639699203,46.775519130976676,0.0,0.0,0.0,0.0,84.0374504891096,-23.387759565488338,-46.775519130976676,0.192,112.34374233939987,2017,false,false
00-0029004,L.Dunbar,RB,7.297699416411826,25.211732137380523,0.0,0.0,0.0,0.0,16.818164953496858,-12.605866068690261,-25.211732137380523,0.135,0.0,2017,true,true
00-0029033,G.Whalen,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0029091,B.Sowell,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0029119,D.Carrier,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0029137,A.Jeffery,WR,154.41058769262807,166.46243572598712,0.0,0.0,141.6126499159133,246.5608123311783,427.6636816956812,58.381432052919735,-24.849785810073826,0.599,45.982608695652175,2017,true,true
00-0029141,A.Morris,RB,2.978048563568491,10.05473300464311,0.0,0.0,0.0,0.0,8.858296690821428,-5.027366502321555,-10.05473300464311,0.116,0.0,2017,true,true
